elr,total_yards,mileage,easting,northing,longitude,latitude,os_grid_ref,linear_accuracy_m
GTW1,53900,30M 1100y,498933.6,150317.0,-0.584022,51.243456,SU9893350317,1
GTW1,54010,30M 1210y,498879.8,150402.1,-0.584768,51.24423,SU9887950402,1
GTW1,54120,30M 1320y,498807.1,150471.7,-0.58579,51.244869,SU9880750471,1
GTW1,54230,30M 1430y,498719.3,150520.9,-0.587035,51.245326,SU9871950520,1
GTW1,54340,30M 1540y,498622.1,150547.3,-0.58842,51.24558,SU9862250547,1
GTW1,54450,30M 1650y,498521.3,150549.4,-0.589862,51.245616,SU9852150549,1
GTW1,54560,31M 0000y,498423.1,150526.8,-0.591274,51.24543,SU9842350526,1
GTW1,54670,31M 0110y,498333.1,150482.6,-0.592577,51.245049,SU9833350482,0
GTW1,54780,31M 0220y,498246.8,150431.0,-0.593827,51.244599,SU9824650431,0
GTW1,54890,31M 0330y,498158.8,150382.4,-0.5951,51.244177,SU9815850382,0
GTW1,55000,31M 0440y,498067.7,150339.8,-0.596416,51.24381,SU9806750339,0
GTW1,55110,31M 0550y,497974.1,150303.4,-0.597768,51.243499,SU9797450303,0
GTW1,55220,31M 0660y,497878.6,150271.8,-0.599143,51.243232,SU9787850271,0
GTW1,55330,31M 0770y,497781.4,150246.5,-0.600542,51.24302,SU9778150246,0
GTW1,55440,31M 0880y,497682.9,150226.9,-0.601959,51.242861,SU9768250226,0
GTW1,55550,31M 0990y,497582.9,150213.1,-0.603394,51.242754,SU9758250213,1
GTW1,55660,31M 1100y,497482.4,150204.6,-0.604836,51.242695,SU9748250204,1
GTW1,55770,31M 1210y,497381.5,150202.4,-0.606281,51.242693,SU9738150202,1
GTW1,55880,31M 1320y,497280.7,150205.1,-0.607725,51.242734,SU9728050205,1
GTW1,55990,31M 1430y,497180.0,150213.2,-0.609164,51.242824,SU9718050213,1
GTW1,56100,31M 1540y,497079.6,150223.1,-0.610599,51.24293,SU9707950223,1
GTW1,56210,31M 1650y,496979.6,150236.8,-0.612028,51.24307,SU9697950236,1
GTW1,56320,32M 0000y,496880.0,150253.1,-0.61345,51.243234,SU9688050253,0
